,countyFIPS,CountyName,State,Deaths,Confirmed,Population,DeathsPerThousand,CaseRate,FatalityRate
1,1001,Autauga County,AL,9,431,55869,20,0.7714474932431223,2.088167053364269
2,1003,Baldwin County,AL,9,420,223234,21,0.18814338317639784,2.142857142857143
3,1005,Barbour County,AL,1,272,24686,3,1.1018390990845013,0.3676470588235294
4,1007,Bibb County,AL,1,126,22394,7,0.5626507100116103,0.7936507936507936
5,1009,Blount County,AL,1,143,57826,6,0.2472936049527894,0.6993006993006993
6,1011,Bullock County,AL,10,327,10101,30,3.2373032373032373,3.058103975535168
7,1013,Butler County,AL,26,572,19448,45,2.941176470588235,4.545454545454546
8,1015,Calhoun County,AL,4,211,113605,18,0.1857312618282646,1.8957345971563981
9,1017,Chambers County,AL,27,516,33254,52,1.5516930294099958,5.232558139534884
10,1019,Cherokee County,AL,6,58,26196,103,0.2214078485264926,10.344827586206897
11,1021,Chilton County,AL,3,163,44428,18,0.36688574772665883,1.8404907975460123
12,1023,Choctaw County,AL,12,186,12589,64,1.477480339979347,6.451612903225806
13,1025,Clarke County,AL,4,214,23622,18,0.9059351452036237,1.8691588785046727
14,1027,Clay County,AL,2,31,13235,64,0.23422742727616166,6.451612903225806
15,1029,Cleburne County,AL,1,22,14910,45,0.14755197853789404,4.545454545454546
16,1031,Coffee County,AL,1,315,52342,3,0.6018111650299951,0.31746031746031744
17,1033,Colbert County,AL,5,302,55241,16,0.5466953892941837,1.6556291390728477
18,1035,Conecuh County,AL,1,137,12067,7,1.1353277533769786,0.7299270072992701
19,1037,Coosa County,AL,1,50,10663,20,0.46891118822095096,2.0
20,1039,Covington County,AL,1,224,37049,4,0.604604712677805,0.4464285714285714
21,1041,Crenshaw County,AL,3,117,13772,25,0.849549811211153,2.564102564102564
22,1043,Cullman County,AL,1,309,83768,3,0.3688759430808901,0.3236245954692557
23,1045,Dale County,AL,0,205,49172,0,0.4169039290653217,0.0
24,1047,Dallas County,AL,6,626,37196,9,1.6829766641574362,0.9584664536741214
25,1049,DeKalb County,AL,5,403,71513,12,0.5635339029267405,1.240694789081886
26,1051,Elmore County,AL,11,663,81209,16,0.8164119740422859,1.6591251885369533
27,1053,Escambia County,AL,5,144,36633,34,0.39308819916468757,3.4722222222222223
28,1055,Etowah County,AL,12,394,102268,30,0.38526225212187587,3.0456852791878175
29,1057,Fayette County,AL,1,61,16302,16,0.3741872162924795,1.639344262295082
30,1059,Franklin County,AL,10,776,31362,12,2.4743319941330273,1.2886597938144329
31,1061,Geneva County,AL,0,51,26271,0,0.19413040995774808,0.0
32,1063,Greene County,AL,5,151,8111,33,1.8616693379361362,3.3112582781456954
33,1065,Hale County,AL,18,262,14651,68,1.788273837963279,6.870229007633588
34,1067,Henry County,AL,3,115,17205,26,0.6684103458297006,2.608695652173913
35,1069,Houston County,AL,5,356,105882,14,0.33622334296669876,1.4044943820224718
36,1071,Jackson County,AL,3,150,51626,20,0.2905512726145741,2.0
37,1073,Jefferson County,AL,126,2903,658573,43,0.4408015512327411,4.3403375818119185
38,1075,Lamar County,AL,0,55,13805,0,0.398406374501992,0.0
39,1077,Lauderdale County,AL,4,295,92729,13,0.3181313289262259,1.3559322033898304
40,1079,Lawrence County,AL,0,75,32924,0,0.22779735147612684,0.0
41,1081,Lee County,AL,35,841,164542,41,0.5111157029816096,4.161712247324614
42,1083,Limestone County,AL,0,267,98915,0,0.2699287266845271,0.0
43,1085,Lowndes County,AL,15,417,9726,35,4.2874768661320175,3.597122302158273
44,1087,Macon County,AL,6,146,18068,41,0.8080584458711534,4.10958904109589
45,1089,Madison County,AL,6,708,372909,8,0.18985865184267475,0.847457627118644
46,1091,Marengo County,AL,11,238,18863,46,1.2617293113502623,4.621848739495799
47,1093,Marion County,AL,12,173,29709,69,0.5823151233632906,6.9364161849710975
48,1095,Marshall County,AL,9,1061,96774,8,1.0963688594043854,0.8482563619227144
49,1097,Mobile County,AL,133,2954,413210,45,0.7148907335253262,4.502369668246446
50,1099,Monroe County,AL,2,159,20733,12,0.7668933584141224,1.257861635220126
51,1101,Montgomery County,AL,81,3222,226486,25,1.4226044876946036,2.5139664804469275
52,1103,Morgan County,AL,2,733,119679,2,0.6124716951177733,0.2728512960436562
53,1105,Perry County,AL,0,86,8923,0,0.9638014120811386,0.0
54,1107,Pickens County,AL,6,157,19930,38,0.7877571500250878,3.821656050955414
55,1109,Pike County,AL,3,360,33114,8,1.087153469831491,0.8333333333333334
56,1111,Randolph County,AL,8,144,22722,55,0.6337470293108001,5.555555555555555
57,1113,Russell County,AL,0,353,57961,0,0.6090302099687721,0.0
58,1115,St. Clair County,AL,2,204,89512,9,0.22790240414693003,0.9803921568627451
59,1117,Shelby County,AL,22,778,217702,28,0.3573692478709428,2.827763496143959
60,1119,Sumter County,AL,12,269,12427,44,2.1646415063973605,4.4609665427509295
61,1121,Talladega County,AL,6,185,79978,32,0.23131361124309185,3.2432432432432434
62,1123,Tallapoosa County,AL,70,513,40367,136,1.270840042609062,13.64522417153996
63,1125,Tuscaloosa County,AL,31,1559,209355,19,0.7446681474051252,1.9884541372674793
64,1127,Walker County,AL,8,679,63521,11,1.0689378315832558,1.1782032400589102
65,1129,Washington County,AL,6,95,16326,63,0.5818939115521254,6.315789473684211
66,1131,Wilcox County,AL,8,244,10373,32,2.3522606767569654,3.278688524590164
67,1133,Winston County,AL,1,173,23629,5,0.732151170172246,0.5780346820809248
69,2013,Aleutians East Borough,AK,0,0,3337,0,0.0,
70,2016,Aleutians West Census Area,AK,0,0,5634,0,0.0,
71,2020,Municipality of Anchorage,AK,6,346,288000,17,0.1201388888888889,1.7341040462427744
72,2050,Bethel Census Area,AK,0,6,18386,0,0.0326335255085391,0.0
73,2060,Bristol Bay Borough,AK,0,0,836,0,0.0,
74,2068,Denali Borough,AK,0,0,2097,0,0.0,
75,2070,Dillingham Census Area,AK,0,0,4916,0,0.0,
76,2090,Fairbanks North Star Borough,AK,2,114,96849,17,0.11770901093454761,1.7543859649122806
77,2100,Haines Borough,AK,0,2,2530,0,0.07905138339920949,0.0
78,2105,Hoonah-Angoon Census Area,AK,0,0,2148,0,0.0,
79,2110,City and Borough of Juneau,AK,0,39,31974,0,0.12197410395946708,0.0
80,2122,Kenai Peninsula Borough,AK,2,119,58708,16,0.20269809906656674,1.680672268907563
81,2130,Ketchikan Gateway Borough,AK,0,21,13901,0,0.15106826846989424,0.0
82,2150,Kodiak Island Borough,AK,0,3,12998,0,0.02308047391906447,0.0
83,2158,Kusilvak Census Area,AK,0,0,8314,0,0.0,
84,2164,Lake and Peninsula Borough,AK,0,0,1592,0,0.0,
85,2170,Matanuska-Susitna Borough,AK,1,54,108317,18,0.04985367024566781,1.8518518518518516
86,2180,Nome Census Area,AK,0,5,10004,0,0.04998000799680128,0.0
87,2185,North Slope Borough,AK,0,3,9832,0,0.030512611879576892,0.0
88,2188,Northwest Arctic Borough,AK,0,4,7621,0,0.05248655032148012,0.0
89,2195,Petersburg Census Area,AK,1,4,3266,250,0.1224739742804654,25.0
90,2198,Prince of Wales-Hyder Census Area,AK,0,2,6203,0,0.032242463324197966,0.0
