County,Statename,State,state.fips,county.fips,X5..male,X5.9.male,X10.14.male,X15.17.male,X18.19.male,X20.male,X21.male,X22.24.male,X25.29.male,X30.34.male,X35.39.male,X40.44.male,X45.49.male,X50.54.male,X55.59.male,X60.61.male,X62.64.male,X65.66.male,X67.69.male,X70.74.male,X75.79.male,X80.84.male,X85..male,X5..female,X5.9.female,X10.14.female,X15.17.female,X18.19.female,X20.female,X21.female,X22.24.female,X25.29.female,X30.34.female,X35.39.female,X40.44.female,X45.49.female,X50.54.female,X55.59.female,X60.61.female,X62.64.female,X65.66.female,X67.69.female,X70.74.female,X75.79.female,X80.84.female,X85..female,White,Black,American.Indian,Asian,Native.Hawaiian,Other.Race,Hispanic..any.race.,Never.Married,Now.Married,Divorced,Widowed,less.than.high.school,high.school,some.college,Bachelors,Graduate.Degree,households.with..18,owner.occupied.residences,renter.occupied.residences,X.10k,X10.15k,X15.20k,X20.25k,X25.30k,X30.35k,X35.40k,X40.45k,X45.50k,X50.60k,X60.75k,X75.100k,X100.125k,X125.150k,X150.200k,X.200k,X.20k,X20.40k,X40.60k,X60.80k,X80.100k,X100.125k.1,X125.150k.1,X150.175k,X175.200k,X200.250k,X250.300k,X300.400k,X400.500k,X500.750k,X750k.1M,X1.1.5M,X1.5.2M,X.2M,value,region,stateFIPS,countyfips,Risk score,populationdensity,population
Autauga County, Alabama,AL,1,1,0.032409,0.036612,0.031775,0.022754,0.013768,0.007228,0.007174,0.016486,0.030888,0.030743,0.036087,0.028551,0.034402,0.035091,0.038696,0.00904,0.011957,0.006775,0.010942,0.020018,0.011033,0.008134,0.006286,0.026703,0.036014,0.032899,0.023025,0.01029,0.008877,0.003587,0.017101,0.035417,0.030924,0.038098,0.030851,0.035779,0.036993,0.036141,0.015254,0.012554,0.009438,0.013986,0.024185,0.016105,0.010453,0.008478,0.768786,0.191395,0.00288,0.01029,0.00058,0.007409,0.027681,0.252311,0.580775,0.111299,0.055616,0.113114,0.326078,0.283915,0.158828,0.118065,0.360786,0.748946,0.251054,0.07085,0.057826,0.062231,0.039214,0.045892,0.033247,0.05058,0.038598,0.029552,0.083116,0.09775,0.140516,0.108785,0.056737,0.054511,0.030594,0.086379,0.028898,0.047743,0.050462,0.105792,0.087075,0.102441,0.085304,0.081637,0.145757,0.070064,0.076957,0.016504,0.009928,0.003668,0.000506,0.000696,0.00019,55200,1001,1,1001,50.40511905,93.98594,55869
Baldwin County, Alabama,AL,1,3,0.028135,0.026674,0.036251,0.019865,0.011432,0.005185,0.004411,0.016549,0.028226,0.027409,0.029273,0.029951,0.031498,0.034598,0.03319,0.012614,0.020297,0.012643,0.017856,0.025482,0.016876,0.010759,0.007059,0.027649,0.029494,0.032575,0.018846,0.010917,0.005757,0.004022,0.015925,0.028596,0.027856,0.030446,0.032272,0.034304,0.035732,0.036198,0.0148,0.023651,0.013344,0.019303,0.029345,0.018553,0.012268,0.011917,0.862662,0.09497,0.007314,0.008073,4.30E-05,0.009774,0.044943,0.247481,0.544244,0.133718,0.074557,0.097354,0.276068,0.313119,0.207029,0.10643,0.262497,0.736193,0.263807,0.053764,0.051868,0.044313,0.047468,0.052085,0.05763,0.048778,0.047849,0.038056,0.094198,0.09842,0.123261,0.079367,0.056409,0.05529,0.051245,0.031876,0.022373,0.023687,0.033707,0.050811,0.087179,0.088008,0.107375,0.093139,0.134155,0.090116,0.113267,0.047287,0.046889,0.016776,0.007654,0.002626,0.003075,208107,1003,1,1003,75.53260566,140.41817,223234
Barbour County, Alabama,AL,1,5,0.02781,0.026026,0.035374,0.018385,0.010317,0.011015,0.00702,0.019432,0.04507,0.043247,0.037468,0.035024,0.037119,0.035529,0.033473,0.012295,0.018928,0.012024,0.012257,0.025871,0.015049,0.0083,0.004228,0.026103,0.030215,0.029672,0.01726,0.009658,0.005934,0.005081,0.015825,0.02719,0.027034,0.026763,0.021139,0.027733,0.033512,0.030797,0.012024,0.02079,0.011287,0.023194,0.024746,0.01757,0.013071,0.01214,0.473819,0.475758,0.002793,0.003724,3.90E-05,0.030176,0.042898,0.345027,0.448389,0.122455,0.084129,0.269686,0.356903,0.251252,0.077973,0.044186,0.316569,0.613978,0.386022,0.133355,0.089484,0.091988,0.073155,0.053015,0.068038,0.054431,0.051709,0.035489,0.067385,0.075985,0.087742,0.060091,0.031134,0.013172,0.013825,0.123582,0.103546,0.083156,0.116135,0.107801,0.106915,0.055142,0.076596,0.031206,0.065426,0.050709,0.039894,0.007979,0.021099,0.009929,0,0,0.000887,25782,1005,1,1005,14.74806318,27.897568,24686
Bibb County, Alabama,AL,1,7,0.030719,0.028899,0.03063,0.024016,0.01971,0.005149,0.002575,0.023039,0.039908,0.044169,0.037111,0.036312,0.041417,0.042349,0.03467,0.01163,0.014649,0.009367,0.018245,0.022107,0.011808,0.006215,0.00475,0.02588,0.023394,0.02659,0.016691,0.006792,0.012918,0.005726,0.01678,0.029209,0.023217,0.027478,0.027611,0.039064,0.029831,0.031651,0.012962,0.014738,0.0095,0.01971,0.015271,0.015892,0.015448,0.014205,0.766547,0.222755,0.000355,0.001642,0,4.00E-04,0.024282,0.320468,0.467927,0.125206,0.086399,0.167934,0.473447,0.243726,0.075856,0.039037,0.291667,0.750731,0.249269,0.063889,0.081725,0.051608,0.077485,0.061842,0.049561,0.042836,0.069444,0.038012,0.073538,0.093275,0.146199,0.064474,0.037719,0.03114,0.017251,0.067381,0.113924,0.067575,0.157741,0.107303,0.099708,0.079649,0.083544,0.04148,0.045959,0.047128,0.07556,0.010321,0,0.001947,0.000779,0,0,22527,1007,1,1007,18.92814643,35.969673,22394
Blount County, Alabama,AL,1,9,0.031451,0.029369,0.036742,0.021077,0.013583,0.002897,0.006956,0.018891,0.028953,0.029057,0.026212,0.035961,0.033914,0.035493,0.035857,0.010339,0.017747,0.010114,0.01681,0.022413,0.012976,0.009663,0.006783,0.029005,0.033637,0.032561,0.019794,0.010027,0.007234,0.003678,0.015665,0.030029,0.029682,0.026524,0.035389,0.034765,0.033689,0.031711,0.014745,0.019846,0.01759,0.013254,0.026195,0.017833,0.015647,0.00824,0.955052,0.014954,0.002446,0.003435,0.000312,0.007581,0.091266,0.20508,0.598951,0.116928,0.079041,0.198375,0.340399,0.334797,0.081182,0.045247,0.311553,0.786262,0.213738,0.083641,0.056408,0.050874,0.06301,0.053689,0.071893,0.043107,0.044515,0.043786,0.09301,0.115583,0.119466,0.068447,0.037816,0.035291,0.019466,0.074582,0.064703,0.063962,0.090202,0.08446,0.123788,0.101253,0.098043,0.06495,0.078965,0.048219,0.060875,0.018707,0.014015,0.010496,0.000494,0.000864,0.00142,57645,1009,1,1009,47.88923108,89.6833,57826
Bullock County, Alabama,AL,1,11,0.030622,0.034583,0.02386,0.020672,0.026275,0.009757,0.014104,0.017774,0.041151,0.027628,0.054482,0.03352,0.032844,0.03864,0.031878,0.014973,0.028111,0.015842,0.008211,0.025019,0.010143,0.006472,0.000483,0.026951,0.026662,0.028304,0.016036,0.011592,0,0.008404,0.018161,0.026662,0.012751,0.028787,0.037674,0.026179,0.030043,0.025406,0.027917,0.011495,0.01024,0.021252,0.017098,0.013814,0.011109,0.016422,0.219861,0.762461,0.011785,0.00541,0,0.000483,0.004927,0.454789,0.390468,0.08378,0.070962,0.247748,0.396537,0.222691,0.074043,0.058981,0.357994,0.755334,0.244666,0.227487,0.107509,0.034081,0.056248,0.051538,0.038792,0.031311,0.071211,0.024383,0.125797,0.047104,0.058465,0.076475,0.022444,0.00471,0.022444,0.12069,0.184153,0.090976,0.116288,0.126926,0.105649,0.041086,0.042553,0.003302,0.043287,0.038518,0.031548,0.006236,0.013573,0.015774,0.016141,0,0.003302,10352,1011,1,1011,8.464563691,16.21843,10101
Butler County, Alabama,AL,1,13,0.029713,0.034107,0.035256,0.020824,0.011486,0.007591,0.006692,0.013383,0.030312,0.026417,0.021823,0.033558,0.026317,0.027516,0.034657,0.010537,0.019975,0.00784,0.016679,0.02422,0.011036,0.00774,0.010137,0.030462,0.030462,0.028365,0.018826,0.013383,0.008889,0.004794,0.012235,0.031511,0.032809,0.038752,0.025768,0.03201,0.035356,0.038252,0.018077,0.019825,0.013633,0.01613,0.025418,0.026567,0.012984,0.017678,0.52005,0.452185,1.00E-04,0.011536,0,0,0.003346,0.358949,0.434197,0.11844,0.088414,0.154162,0.43858,0.246328,0.096774,0.064156,0.278324,0.699463,0.300537,0.112403,0.091831,0.079905,0.055605,0.065444,0.04025,0.066786,0.060823,0.046213,0.070811,0.080203,0.107782,0.057245,0.032051,0.016696,0.015951,0.113384,0.094416,0.108483,0.139386,0.091006,0.107204,0.064152,0.082481,0.030691,0.075448,0.047528,0.022592,0.002344,0.015132,0.003836,0.001066,0,0.000853,20025,1013,1,1013,13.11839919,25.035078,19448
Calhoun County, Alabama,AL,1,15,0.027785,0.030305,0.03232,0.020973,0.01404,0.008176,0.008384,0.016473,0.034127,0.02941,0.028245,0.029905,0.029531,0.033815,0.030609,0.015743,0.019305,0.01126,0.015013,0.01967,0.012763,0.007498,0.005239,0.029227,0.029158,0.02987,0.019271,0.01325,0.004431,0.006568,0.022225,0.035526,0.031408,0.032911,0.029227,0.032572,0.034041,0.037603,0.016012,0.019123,0.012954,0.018697,0.022225,0.017854,0.012685,0.012572,0.743349,0.205703,0.003067,0.009253,7.80E-05,0.014779,0.036517,0.282851,0.513032,0.128303,0.075814,0.159474,0.324168,0.336678,0.101851,0.077829,0.313082,0.694735,0.305265,0.085981,0.071303,0.066662,0.061,0.058246,0.052961,0.051007,0.051318,0.038372,0.083095,0.106233,0.111851,0.070348,0.037817,0.029845,0.02396,0.06383,0.067602,0.081666,0.101355,0.11251,0.1322,0.088954,0.096209,0.050086,0.065748,0.064182,0.039475,0.013137,0.015246,0.003548,0.003164,0.000447,0.000639,115098,1015,1,1015,100.878178,187.50722,113605
Chambers County, Alabama,AL,1,17,0.028913,0.027346,0.03045,0.01892,0.011796,0.007716,0.007923,0.026577,0.022438,0.026548,0.026252,0.030007,0.033968,0.034204,0.039437,0.011589,0.016378,0.010672,0.017147,0.022911,0.015373,0.007746,0.006297,0.028735,0.023739,0.031603,0.017413,0.009815,0.007066,0.005233,0.020132,0.031632,0.028499,0.028765,0.032431,0.033465,0.035771,0.03855,0.014456,0.022764,0.013303,0.020635,0.026932,0.019659,0.014338,0.014456,0.575977,0.39375,0.002868,0.011973,0,0.005174,0.022704,0.302578,0.476167,0.122143,0.099112,0.186004,0.384485,0.297191,0.093363,0.038958,0.258508,0.677641,0.322359,0.0876,0.072137,0.080349,0.090855,0.057709,0.064738,0.047721,0.059189,0.043208,0.08501,0.080941,0.113569,0.055194,0.028707,0.02005,0.013022,0.09084,0.068348,0.115952,0.161481,0.118026,0.120865,0.06671,0.088001,0.043018,0.038651,0.024129,0.035921,0.007643,0.013539,0.003603,0,0.002293,0.000983,33826,1017,1,1017,29.67352768,55.745728,33254
Cherokee County, Alabama,AL,1,19,0.025916,0.025413,0.031022,0.020268,0.010057,0.00646,0.00762,0.015936,0.028623,0.019688,0.032723,0.024175,0.035315,0.036475,0.040537,0.013306,0.021351,0.014582,0.024446,0.024639,0.023479,0.009012,0.004835,0.020655,0.031447,0.027772,0.02197,0.009709,0.005415,0.003094,0.014969,0.02696,0.022551,0.027656,0.028275,0.032337,0.036746,0.038642,0.018799,0.020694,0.01671,0.019069,0.033072,0.022473,0.011411,0.013693,0.928209,0.049008,0.009129,0.002127,0,0.003481,0.015395,0.19807,0.610139,0.115472,0.076319,0.197719,0.383281,0.290098,0.068173,0.060729,0.272393,0.789553,0.210447,0.086178,0.077598,0.083538,0.059023,0.053177,0.0594,0.063455,0.0594,0.033472,0.090232,0.092778,0.111541,0.056195,0.026777,0.02574,0.021497,0.088488,0.075591,0.065441,0.095653,0.092907,0.088846,0.079532,0.110461,0.050752,0.089324,0.065918,0.05338,0.016002,0.019584,0.002269,0.003463,0.000597,0.001791,25853,1019,1,1019,24.96095939,47.310818,26196
