,countyFIPS,CountyName,State,Deaths,Population,DeathsPerThousand
1,1001,Autauga County,AL,9,431,20
2,1003,Baldwin County,AL,9,420,21
3,1005,Barbour County,AL,1,272,3
4,1007,Bibb County,AL,1,126,7
5,1009,Blount County,AL,1,143,6
6,1011,Bullock County,AL,10,327,30
7,1013,Butler County,AL,26,572,45
8,1015,Calhoun County,AL,4,211,18
9,1017,Chambers County,AL,27,516,52
10,1019,Cherokee County,AL,6,58,103
11,1021,Chilton County,AL,3,163,18
12,1023,Choctaw County,AL,12,186,64
13,1025,Clarke County,AL,4,214,18
14,1027,Clay County,AL,2,31,64
15,1029,Cleburne County,AL,1,22,45
16,1031,Coffee County,AL,1,315,3
17,1033,Colbert County,AL,5,302,16
18,1035,Conecuh County,AL,1,137,7
19,1037,Coosa County,AL,1,50,20
20,1039,Covington County,AL,1,224,4
21,1041,Crenshaw County,AL,3,117,25
22,1043,Cullman County,AL,1,309,3
23,1045,Dale County,AL,0,205,0
24,1047,Dallas County,AL,6,626,9
25,1049,DeKalb County,AL,5,403,12
26,1051,Elmore County,AL,11,663,16
27,1053,Escambia County,AL,5,144,34
28,1055,Etowah County,AL,12,394,30
29,1057,Fayette County,AL,1,61,16
30,1059,Franklin County,AL,10,776,12
31,1061,Geneva County,AL,0,51,0
32,1063,Greene County,AL,5,151,33
33,1065,Hale County,AL,18,262,68
34,1067,Henry County,AL,3,115,26
35,1069,Houston County,AL,5,356,14
36,1071,Jackson County,AL,3,150,20
37,1073,Jefferson County,AL,126,2903,43
38,1075,Lamar County,AL,0,55,0
39,1077,Lauderdale County,AL,4,295,13
40,1079,Lawrence County,AL,0,75,0
41,1081,Lee County,AL,35,841,41
42,1083,Limestone County,AL,0,267,0
43,1085,Lowndes County,AL,15,417,35
44,1087,Macon County,AL,6,146,41
45,1089,Madison County,AL,6,708,8
46,1091,Marengo County,AL,11,238,46
47,1093,Marion County,AL,12,173,69
48,1095,Marshall County,AL,9,1061,8
49,1097,Mobile County,AL,133,2954,45
50,1099,Monroe County,AL,2,159,12
51,1101,Montgomery County,AL,81,3222,25
52,1103,Morgan County,AL,2,733,2
53,1105,Perry County,AL,0,86,0
54,1107,Pickens County,AL,6,157,38
55,1109,Pike County,AL,3,360,8
56,1111,Randolph County,AL,8,144,55
57,1113,Russell County,AL,0,353,0
58,1115,St. Clair County,AL,2,204,9
59,1117,Shelby County,AL,22,778,28
60,1119,Sumter County,AL,12,269,44
61,1121,Talladega County,AL,6,185,32
62,1123,Tallapoosa County,AL,70,513,136
63,1125,Tuscaloosa County,AL,31,1559,19
64,1127,Walker County,AL,8,679,11
65,1129,Washington County,AL,6,95,63
66,1131,Wilcox County,AL,8,244,32
67,1133,Winston County,AL,1,173,5
69,2013,Aleutians East Borough,AK,0,0,0
70,2016,Aleutians West Census Area,AK,0,0,0
71,2020,Municipality of Anchorage,AK,6,346,17
72,2050,Bethel Census Area,AK,0,6,0
73,2060,Bristol Bay Borough,AK,0,0,0
74,2068,Denali Borough,AK,0,0,0
75,2070,Dillingham Census Area,AK,0,0,0
76,2090,Fairbanks North Star Borough,AK,2,114,17
77,2100,Haines Borough,AK,0,2,0
78,2105,Hoonah-Angoon Census Area,AK,0,0,0
79,2110,City and Borough of Juneau,AK,0,39,0
80,2122,Kenai Peninsula Borough,AK,2,119,16
81,2130,Ketchikan Gateway Borough,AK,0,21,0
82,2150,Kodiak Island Borough,AK,0,3,0
83,2158,Kusilvak Census Area,AK,0,0,0
84,2164,Lake and Peninsula Borough,AK,0,0,0
85,2170,Matanuska-Susitna Borough,AK,1,54,18
86,2180,Nome Census Area,AK,0,5,0
87,2185,North Slope Borough,AK,0,3,0
88,2188,Northwest Arctic Borough,AK,0,4,0
89,2195,Petersburg Census Area,AK,1,4,250
90,2198,Prince of Wales-Hyder Census Area,AK,0,2,0
91,2220,Sitka City and Borough,AK,0,11,0
92,2230,Skagway Municipality,AK,0,0,0
