,countyFIPS,CountyName,State,Deaths,Population,DeathsPerMillion
1,1001,Autauga County,AL,9,55869,161
2,1003,Baldwin County,AL,9,223234,40
3,1005,Barbour County,AL,1,24686,40
4,1007,Bibb County,AL,1,22394,44
5,1009,Blount County,AL,1,57826,17
6,1011,Bullock County,AL,10,10101,990
7,1013,Butler County,AL,26,19448,1336
8,1015,Calhoun County,AL,4,113605,35
9,1017,Chambers County,AL,27,33254,811
10,1019,Cherokee County,AL,6,26196,229
11,1021,Chilton County,AL,3,44428,67
12,1023,Choctaw County,AL,12,12589,953
13,1025,Clarke County,AL,4,23622,169
14,1027,Clay County,AL,2,13235,151
15,1029,Cleburne County,AL,1,14910,67
16,1031,Coffee County,AL,1,52342,19
17,1033,Colbert County,AL,5,55241,90
18,1035,Conecuh County,AL,1,12067,82
19,1037,Coosa County,AL,1,10663,93
20,1039,Covington County,AL,1,37049,26
21,1041,Crenshaw County,AL,3,13772,217
22,1043,Cullman County,AL,1,83768,11
23,1045,Dale County,AL,0,49172,0
24,1047,Dallas County,AL,6,37196,161
25,1049,DeKalb County,AL,5,71513,69
26,1051,Elmore County,AL,11,81209,135
27,1053,Escambia County,AL,5,36633,136
28,1055,Etowah County,AL,12,102268,117
29,1057,Fayette County,AL,1,16302,61
30,1059,Franklin County,AL,10,31362,318
31,1061,Geneva County,AL,0,26271,0
32,1063,Greene County,AL,5,8111,616
33,1065,Hale County,AL,18,14651,1228
34,1067,Henry County,AL,3,17205,174
35,1069,Houston County,AL,5,105882,47
36,1071,Jackson County,AL,3,51626,58
37,1073,Jefferson County,AL,126,658573,191
38,1075,Lamar County,AL,0,13805,0
39,1077,Lauderdale County,AL,4,92729,43
40,1079,Lawrence County,AL,0,32924,0
41,1081,Lee County,AL,35,164542,212
42,1083,Limestone County,AL,0,98915,0
43,1085,Lowndes County,AL,15,9726,1542
44,1087,Macon County,AL,6,18068,332
45,1089,Madison County,AL,6,372909,16
46,1091,Marengo County,AL,11,18863,583
47,1093,Marion County,AL,12,29709,403
48,1095,Marshall County,AL,9,96774,93
49,1097,Mobile County,AL,133,413210,321
50,1099,Monroe County,AL,2,20733,96
51,1101,Montgomery County,AL,81,226486,357
52,1103,Morgan County,AL,2,119679,16
53,1105,Perry County,AL,0,8923,0
54,1107,Pickens County,AL,6,19930,301
55,1109,Pike County,AL,3,33114,90
56,1111,Randolph County,AL,8,22722,352
57,1113,Russell County,AL,0,57961,0
58,1115,St. Clair County,AL,2,89512,22
59,1117,Shelby County,AL,22,217702,101
60,1119,Sumter County,AL,12,12427,965
61,1121,Talladega County,AL,6,79978,75
62,1123,Tallapoosa County,AL,70,40367,1734
63,1125,Tuscaloosa County,AL,31,209355,148
64,1127,Walker County,AL,8,63521,125
65,1129,Washington County,AL,6,16326,367
66,1131,Wilcox County,AL,8,10373,771
67,1133,Winston County,AL,1,23629,42
69,2013,Aleutians East Borough,AK,0,3337,0
70,2016,Aleutians West Census Area,AK,0,5634,0
71,2020,Municipality of Anchorage,AK,6,288000,20
72,2050,Bethel Census Area,AK,0,18386,0
73,2060,Bristol Bay Borough,AK,0,836,0
74,2068,Denali Borough,AK,0,2097,0
75,2070,Dillingham Census Area,AK,0,4916,0
76,2090,Fairbanks North Star Borough,AK,2,96849,20
77,2100,Haines Borough,AK,0,2530,0
78,2105,Hoonah-Angoon Census Area,AK,0,2148,0
79,2110,City and Borough of Juneau,AK,0,31974,0
80,2122,Kenai Peninsula Borough,AK,2,58708,34
81,2130,Ketchikan Gateway Borough,AK,0,13901,0
82,2150,Kodiak Island Borough,AK,0,12998,0
83,2158,Kusilvak Census Area,AK,0,8314,0
84,2164,Lake and Peninsula Borough,AK,0,1592,0
85,2170,Matanuska-Susitna Borough,AK,1,108317,9
86,2180,Nome Census Area,AK,0,10004,0
87,2185,North Slope Borough,AK,0,9832,0
88,2188,Northwest Arctic Borough,AK,0,7621,0
89,2195,Petersburg Census Area,AK,1,3266,306
90,2198,Prince of Wales-Hyder Census Area,AK,0,6203,0
91,2220,Sitka City and Borough,AK,0,8493,0
92,2230,Skagway Municipality,AK,0,1183,0
93,2240,Southeast Fairbanks Census Area,AK,0,6893,0
94,2261,Valdez-Cordova Census Area,AK,0,9202,0
95,2270,Wade Hampton Census Area,AK,0,0,0
96,2275,Wrangell City and Borough,AK,0,2502,0
97,2282,Yakutat City and Borough,AK,0,579,0
98,2290,Yukon-Koyukuk Census Area,AK,0,5230,0
100,4001,Apache County,AZ,66,71887,918
101,4003,Cochise County,AZ,6,125922,47
102,4005,Coconino County,AZ,90,143476,627
103,4007,Gila County,AZ,3,54018,55
104,4009,Graham County,AZ,2,38837,51
105,4011,Greenlee County,AZ,1,9498,105
106,4012,La Paz County,AZ,3,21108,142
107,4013,Maricopa County,AZ,633,4485414,141
108,4015,Mohave County,AZ,72,212181,339
109,4017,Navajo County,AZ,95,110924,856
110,4019,Pima County,AZ,242,1047279,231
111,4021,Pinal County,AZ,50,462789,108
112,4023,Santa Cruz County,AZ,13,46498,279
113,4025,Yavapai County,AZ,7,235099,29
114,4027,Yuma County,AZ,55,213787,257
116,5001,Arkansas County,AR,0,17486,0
117,5003,Ashley County,AR,1,19657,50
118,5005,Baxter County,AR,0,41932,0
119,5007,Benton County,AR,13,279141,46
120,5009,Boone County,AR,0,37432,0
121,5011,Bradley County,AR,2,10763,185
122,5013,Calhoun County,AR,0,5189,0
123,5015,Carroll County,AR,4,28380,140
124,5017,Chicot County,AR,2,10118,197
125,5019,Clark County,AR,0,22320,0
126,5021,Clay County,AR,1,14551,68
127,5023,Cleburne County,AR,4,24919,160
128,5025,Cleveland County,AR,0,7956,0
129,5027,Columbia County,AR,2,23457,85
130,5029,Conway County,AR,3,20846,143
131,5031,Craighead County,AR,5,110332,45
132,5033,Crawford County,AR,0,63257,0
133,5035,Crittenden County,AR,10,47955,208
134,5037,Cross County,AR,1,16419,60
135,5039,Dallas County,AR,0,7009,0
136,5041,Desha County,AR,0,11361,0
137,5043,Drew County,AR,1,18219,54
138,5045,Faulkner County,AR,3,126007,23
139,5047,Franklin County,AR,0,17715,0
140,5049,Fulton County,AR,0,12477,0
141,5051,Garland County,AR,1,99386,10
142,5053,Grant County,AR,0,18265,0
143,5055,Greene County,AR,0,45325,0
144,5057,Hempstead County,AR,1,21532,46
145,5059,Hot Spring County,AR,0,33771,0
146,5061,Howard County,AR,0,13202,0
147,5063,Independence County,AR,0,37825,0
148,5065,Izard County,AR,1,13629,73
149,5067,Jackson County,AR,0,16719,0
150,5069,Jefferson County,AR,28,66824,419
151,5071,Johnson County,AR,0,26578,0
152,5073,Lafayette County,AR,1,6624,150
153,5075,Lawrence County,AR,9,16406,548
154,5077,Lee County,AR,1,8857,112
155,5079,Lincoln County,AR,11,13024,844
156,5081,Little River County,AR,0,12259,0
157,5083,Logan County,AR,0,21466,0
158,5085,Lonoke County,AR,0,73309,0
159,5087,Madison County,AR,0,16576,0
160,5089,Marion County,AR,0,16694,0
161,5091,Miller County,AR,2,43257,46
162,5093,Mississippi County,AR,3,40651,73
163,5095,Monroe County,AR,0,6701,0
164,5097,Montgomery County,AR,0,8986,0
165,5099,Nevada County,AR,2,8252,242
166,5101,Newton County,AR,0,7753,0
167,5103,Ouachita County,AR,0,23382,0
168,5105,Perry County,AR,0,10455,0
169,5107,Phillips County,AR,2,17782,112
170,5109,Pike County,AR,0,10718,0
171,5111,Poinsett County,AR,3,23528,127
172,5113,Polk County,AR,0,19964,0
173,5115,Pope County,AR,2,64072,31
174,5117,Prairie County,AR,0,8062,0
175,5119,Pulaski County,AR,52,391911,132
176,5121,Randolph County,AR,1,17958,55
177,5123,St. Francis County,AR,3,24994,120
178,5125,Saline County,AR,2,122437,16
179,5127,Scott County,AR,0,10281,0
180,5129,Searcy County,AR,0,7881,0
181,5131,Sebastian County,AR,2,127827,15
182,5133,Sevier County,AR,5,17007,293
183,5135,Sharp County,AR,4,17442,229
184,5137,Stone County,AR,0,12506,0
185,5139,Union County,AR,13,38682,336
186,5141,Van Buren County,AR,2,16545,120
187,5143,Washington County,AR,18,239187,75
188,5145,White County,AR,1,78753,12
189,5147,Woodruff County,AR,0,6320,0
190,5149,Yell County,AR,2,21341,93
192,6000,Grand Princess Cruise Ship,CA,0,0,0
193,6001,Alameda County,CA,118,1671329,70
194,6003,Alpine County,CA,0,1129,0
195,6005,Amador County,CA,0,39752,0
196,6007,Butte County,CA,1,219186,4
197,6009,Calaveras County,CA,0,45905,0
198,6011,Colusa County,CA,0,21547,0
199,6013,Contra Costa County,CA,56,1153526,48
200,6015,Del Norte County,CA,0,27812,0
201,6017,El Dorado County,CA,0,192843,0
202,6019,Fresno County,CA,66,999101,66
203,6021,Glenn County,CA,0,28393,0
204,6023,Humboldt County,CA,4,135558,29
205,6025,Imperial County,CA,64,181215,353
206,6027,Inyo County,CA,1,18039,55
207,6029,Kern County,CA,60,900202,66
208,6031,Kings County,CA,12,152940,78
209,6033,Lake County,CA,0,64386,0
210,6035,Lassen County,CA,0,30573,0
211,6037,Los Angeles County,CA,3110,10039107,309
212,6039,Madera County,CA,4,157327,25
213,6041,Marin County,CA,18,258826,69
214,6043,Mariposa County,CA,1,17203,58
215,6045,Mendocino County,CA,0,86749,0
216,6047,Merced County,CA,8,277680,28
217,6049,Modoc County,CA,0,8841,0
218,6051,Mono County,CA,1,14444,69
219,6053,Monterey County,CA,12,434061,27
220,6055,Napa County,CA,4,137744,29
221,6057,Nevada County,CA,1,99755,10
222,6059,Orange County,CA,267,3175692,84
223,6061,Placer County,CA,9,398329,22
224,6063,Plumas County,CA,0,18807,0
225,6065,Riverside County,CA,410,2470546,165
226,6067,Sacramento County,CA,67,1552058,43
227,6069,San Benito County,CA,2,62808,31
228,6071,San Bernardino County,CA,233,2180085,106
229,6073,San Diego County,CA,338,3338330,101
230,6075,San Francisco County,CA,47,881549,53
231,6077,San Joaquin County,CA,48,762148,62
232,6079,San Luis Obispo County,CA,1,283111,3
233,6081,San Mateo County,CA,103,766573,134
234,6083,Santa Barbara County,CA,22,446499,49
235,6085,Santa Clara County,CA,152,1927852,78
236,6087,Santa Cruz County,CA,2,273213,7
237,6089,Shasta County,CA,4,180080,22
238,6091,Sierra County,CA,0,3005,0
239,6093,Siskiyou County,CA,0,43539,0
240,6095,Solano County,CA,23,447643,51
241,6097,Sonoma County,CA,4,494336,8
242,6099,Stanislaus County,CA,35,550660,63
243,6101,Sutter County,CA,3,96971,30
244,6103,Tehama County,CA,1,65084,15
245,6105,Trinity County,CA,0,12285,0
246,6107,Tulare County,CA,111,466195,238
247,6109,Tuolumne County,CA,0,54478,0
248,6111,Ventura County,CA,42,846006,49
249,6113,Yolo County,CA,24,220500,108
250,6115,Yuba County,CA,1,78668,12
252,8001,Adams County,CO,152,517421,293
253,8003,Alamosa County,CO,3,16233,184
254,8005,Arapahoe County,CO,339,656590,516
255,8007,Archuleta County,CO,0,14029,0
256,8009,Baca County,CO,0,3581,0
257,8011,Bent County,CO,0,5577,0
258,8013,Boulder County,CO,71,326196,217
259,8014,Broomfield County and City,CO,28,70465,397
260,8015,Chaffee County,CO,20,20356,982
261,8017,Cheyenne County,CO,0,1831,0
262,8019,Clear Creek County,CO,1,9700,103
263,8021,Conejos County,CO,0,8205,0
264,8023,Costilla County,CO,0,3887,0
265,8025,Crowley County,CO,1,6061,164
266,8027,Custer County,CO,0,5068,0
267,8029,Delta County,CO,1,31162,32
268,8031,Denver County,CO,367,727211,504
269,8033,Dolores County,CO,0,2055,0
270,8035,Douglas County,CO,51,351154,145
271,8037,Eagle County,CO,8,55127,145
272,8039,Elbert County,CO,2,26729,74
273,8041,El Paso County,CO,116,720403,161
274,8043,Fremont County,CO,0,47839,0
275,8045,Garfield County,CO,2,60061,33
276,8047,Gilpin County,CO,0,6243,0
277,8049,Grand County,CO,0,15734,0
278,8051,Gunnison County,CO,6,17462,343
279,8053,Hinsdale County,CO,0,820,0
280,8055,Huerfano County,CO,0,6897,0
281,8057,Jackson County,CO,0,1392,0
282,8059,Jefferson County,CO,203,582881,348
283,8061,Kiowa County,CO,0,1406,0
284,8063,Kit Carson County,CO,3,7097,422
285,8065,Lake County,CO,0,8127,0
286,8067,La Plata County,CO,1,56221,17
287,8069,Larimer County,CO,29,356899,81
288,8071,Las Animas County,CO,0,14506,0
289,8073,Lincoln County,CO,0,5701,0
290,8075,Logan County,CO,5,22409,223
291,8077,Mesa County,CO,0,154210,0
292,8079,Mineral County,CO,0,769,0
293,8081,Moffat County,CO,0,13283,0
294,8083,Montezuma County,CO,3,26183,114
295,8085,Montrose County,CO,12,42758,280
296,8087,Morgan County,CO,46,29068,1582
297,8089,Otero County,CO,1,18278,54
298,8091,Ouray County,CO,1,4952,201
299,8093,Park County,CO,0,18845,0
300,8095,Phillips County,CO,0,4265,0
301,8097,Pitkin County,CO,2,17767,112
302,8099,Prowers County,CO,0,12172,0
303,8101,Pueblo County,CO,23,168424,136
304,8103,Rio Blanco County,CO,0,6324,0
305,8105,Rio Grande County,CO,1,11267,88
306,8107,Routt County,CO,6,25638,234
307,8109,Saguache County,CO,2,6824,293
308,8111,San Juan County,CO,0,728,0
309,8113,San Miguel County,CO,0,8179,0
310,8115,Sedgwick County,CO,0,2248,0
311,8117,Summit County,CO,3,31011,96
312,8119,Teller County,CO,2,25388,78
313,8121,Washington County,CO,0,4908,0
314,8123,Weld County,CO,136,324492,419
315,8125,Yuma County,CO,0,10019,0
317,9001,Fairfield County,CT,1361,943332,1442
318,9003,Hartford County,CT,1344,891720,1507
319,9005,Litchfield County,CT,135,180333,748
320,9007,Middlesex County,CT,172,162436,1058
321,9009,New Haven County,CT,1060,854757,1240
322,9011,New London County,CT,101,265206,380
323,9013,Tolland County,CT,64,150721,424
324,9015,Windham County,CT,14,116782,119
326,10001,Kent County,DE,84,180786,464
327,10003,New Castle County,DE,197,558753,352
328,10005,Sussex County,DE,153,234225,653
329,11001,Washington,DC,533,705749,755
331,12001,Alachua County,FL,11,269043,40
332,12003,Baker County,FL,4,29210,136
333,12005,Bay County,FL,4,174705,22
334,12007,Bradford County,FL,2,28201,70
335,12009,Brevard County,FL,16,601942,26
336,12011,Broward County,FL,370,1952778,189
337,12013,Calhoun County,FL,6,14105,425
338,12015,Charlotte County,FL,75,188910,397
339,12017,Citrus County,FL,12,149657,80
340,12019,Clay County,FL,32,219252,145
341,12021,Collier County,FL,64,384902,166
342,12023,Columbia County,FL,3,71686,41
343,12027,DeSoto County,FL,10,38001,263
344,12029,Dixie County,FL,3,16826,178
345,12031,Duval County,FL,60,957755,62
346,12033,Escambia County,FL,41,318316,128
347,12035,Flagler County,FL,5,115081,43
348,12037,Franklin County,FL,0,12125,0
349,12039,Gadsden County,FL,6,45660,131
350,12041,Gilchrist County,FL,0,18582,0
351,12043,Glades County,FL,1,13811,72
352,12045,Gulf County,FL,0,13639,0
353,12047,Hamilton County,FL,2,14428,138
354,12049,Hardee County,FL,1,26937,37
355,12051,Hendry County,FL,22,42022,523
356,12053,Hernando County,FL,5,193920,25
357,12055,Highlands County,FL,9,106221,84
358,12057,Hillsborough County,FL,114,1471968,77
359,12059,Holmes County,FL,0,19617,0
360,12061,Indian River County,FL,14,159923,87
361,12063,Jackson County,FL,2,46414,43
362,12065,Jefferson County,FL,4,14246,280
363,12067,Lafayette County,FL,0,8422,0
364,12069,Lake County,FL,19,367118,51
365,12071,Lee County,FL,143,770577,185
366,12073,Leon County,FL,8,293582,27
367,12075,Levy County,FL,1,41503,24
368,12077,Liberty County,FL,1,8354,119
369,12079,Madison County,FL,3,18493,162
370,12081,Manatee County,FL,126,403253,312
371,12083,Marion County,FL,10,365579,27
372,12085,Martin County,FL,20,161000,124
373,12086,Miami-Dade County,FL,874,2716940,321
374,12087,Monroe County,FL,4,74228,53
375,12089,Nassau County,FL,1,88625,11
376,12091,Okaloosa County,FL,6,210738,28
377,12093,Okeechobee County,FL,0,42168,0
378,12095,Orange County,FL,48,1393452,34
379,12097,Osceola County,FL,23,375751,61
380,12099,Palm Beach County,FL,468,1496770,312
381,12101,Pasco County,FL,17,553947,30
382,12103,Pinellas County,FL,114,974996,116
383,12105,Polk County,FL,78,724777,107
384,12107,Putnam County,FL,6,74521,80
385,12109,St. Johns County,FL,7,264672,26
386,12111,St. Lucie County,FL,41,328297,124
387,12113,Santa Rosa County,FL,9,184313,48
388,12115,Sarasota County,FL,94,433742,216
389,12117,Seminole County,FL,14,471826,29
390,12119,Sumter County,FL,17,132420,128
